"","ID","Presa","Grupo.funcional.presa","Depredador","Grupo.funcional.depredador","Estrategia","Fuente","Expertise.depredador","Expertise.presa","Referencia","Enlace","Referente"
"103",346,"Ilex_argentinus","Cephalopoda ","Tasmacetus_shepherdi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"https://doi.org/10.3354/meps12296",NA
"104",350,"Galiteuthis_glacialis","Cephalopoda ","Tasmacetus_shepherdi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"https://doi.org/10.3354/meps12296",NA
"105",353,"Taonius*","Cephalopoda ","Tasmacetus_shepherdi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"https://doi.org/10.3354/meps12296",NA
"106",354,"Histioteuthis_atlantica","Cephalopoda ","Tasmacetus_shepherdi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"https://doi.org/10.3354/meps12296",NA
"107",355,"Histioteuthis_macrohista","Cephalopoda ","Tasmacetus_shepherdi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"https://doi.org/10.3354/meps12296",NA
"108",356,"Gonatus_antarcticus","Cephalopoda","Tasmacetus_shepherdi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"https://doi.org/10.3354/meps12296",NA
"109",357,"Kondakovia_longimana","Cephalopoda ","Tasmacetus_shepherdi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"https://doi.org/10.3354/meps12296",NA
"110",358,"Batoteuthis_skolops","Cephalopoda ","Tasmacetus_shepherdi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"https://doi.org/10.3354/meps12296",NA
"111",359,"Galiteuthis_glacialis","Cephalopoda ","Tasmacetus_shepherdi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"https://doi.org/10.3354/meps12296",NA
"112",371,"Loligo_gahi","Cephalopoda ","Ziphius_cavirostris","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"113",372,"Ilex_argentinus","Cephalopoda ","Ziphius_cavirostris","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"114",376,"Galiteuthis_glacialis","Cephalopoda ","Ziphius_cavirostris","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"115",379,"Taonius*","Cephalopoda ","Ziphius_cavirostris","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"116",380,"Histioteuthis_atlantica","Cephalopoda ","Ziphius_cavirostris","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"117",381,"Histioteuthis_macrohista","Cephalopoda ","Ziphius_cavirostris","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"118",382,"Gonatus_antarcticus","Cephalopoda","Ziphius_cavirostris","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"119",383,"Kondakovia_longimana","Cephalopoda ","Ziphius_cavirostris","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"120",384,"Batoteuthis_skolops","Cephalopoda ","Ziphius_cavirostris","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"121",385,"Galiteuthis_glacialis","Cephalopoda ","Ziphius_cavirostris","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"122",397,"Loligo_gahi","Cephalopoda ","Cephalorhynchus_commersonii","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
