resource,consumer
Membranipora isabelleana,Eurypodius latreillii
Membranipora isabelleana,Halicarcinus planatus 
Membranipora isabelleana,Pagurus comptus
Membranipora isabelleana,Pseudechinus magellanicus
Membranipora isabelleana,Peltarion spinosulum
Membranipora isabelleana,Arbacia dufresnii
Membranipora isabelleana,Paralomis granulosa
Membranipora isabelleana,Lithodes santolla
Phytoplankton,Crustacea
Phytoplankton,Zooplankton
Phytoplankton,Ostracoda
Phytoplankton,Ascidiacea
Phytoplankton,Aulacomya atra
Phytoplankton,Bivalvia
Phytoplankton,Crepipatella dilatata
Phytoplankton,Gaimardia trapesina
Phytoplankton,Halicarcinus planatus 
Phytoplankton,Laevilitorina caliginosa
Phytoplankton,Mytilus edulis chilensis
Phytoplankton,Nacella deaurata
Phytoplankton,Nacella magellanica
Phytoplankton,Nacella mytilina
Phytoplankton,Notochthamalus scabrosus 
Phytoplankton,Pagurus comptus
Phytoplankton,Perumytilus purpuratus
Phytoplankton,Plaxiphora sp.
Phytoplankton,Polyplacophora
Phytoplankton,Pseudechinus magellanicus
Phytoplankton,Siphonaria lessonii
Phytoplankton,Spirorbinae
Phytoplankton,Bryozoa
Phytoplankton,Copepoda
Phytoplankton,Membranipora isabelleana
Phytoplankton,Serpulidae
Phytoplankton,Munida gregaria
Phytoplankton,Cephalopoda
Phytoplankton,Euphausiacea
Phytoplankton,Gammaridea
Phytoplankton,Ophiuroidea
Phytoplankton,Sprattus fuegensis
Phytoplankton,Arbacia dufresnii
Phytoplankton,Notobalanus flosculus
Phytoplankton,Tanaidacea
Phytoplankton,Hiatella arctica
Phytoplankton,Hydrozoa
Phytoplankton,Zygochlamys patagonica
Phytoplankton,Cirripedia
Phytoplankton,Cirratulidae
Phytoplankton,Chthamalus sp.
Phytoplankton,Glabraster antarctica
Serpulidae,Mytilus edulis chilensis
Serpulidae,Arbacia dufresnii
Serpulidae,Cosmasterias lurida
Serpulidae,Lithodes santolla
Diatomea,Crustacea
Diatomea,Ostracoda
Diatomea,Ascidiacea
Diatomea,Bivalvia
Diatomea,Crepipatella dilatata
Diatomea,Gaimardia trapesina
Diatomea,Halicarcinus planatus 
Diatomea,Laevilitorina caliginosa
Diatomea,Mytilus edulis chilensis
Diatomea,Nacella deaurata
Diatomea,Nacella magellanica
Diatomea,Pagurus comptus
Diatomea,Polyplacophora
Diatomea,Pseudechinus magellanicus
Diatomea,Cumacea
Diatomea,Serpulidae
Diatomea,Munida gregaria
Diatomea,Gammaridea
Diatomea,Ophiuroidea
Diatomea,Terebellidae
Diatomea,Sprattus fuegensis
Diatomea,Arbacia dufresnii
Diatomea,Notobalanus flosculus
Diatomea,Nereididae
Diatomea,Polynoidae
Diatomea,Tanaidacea
Diatomea,Hydrozoa
Diatomea,Porifera
Diatomea,Zygochlamys patagonica
Diatomea,Ctenophora
Diatomea,Cirratulidae
Diatomea,Chthamalus sp.
Diatomea,Glabraster antarctica
Adenocystis utricularis,Isopoda
Adenocystis utricularis,Nacella deaurata
Adenocystis utricularis,Nacella magellanica
Adenocystis utricularis,Polyplacophora
Adenocystis utricularis,Siphonaria lessonii
Adenocystis utricularis,Munida gregaria
Adenocystis utricularis,Patagonotothen tessellata
Adenocystis utricularis,Austrolycus depressiceps
Adenocystis utricularis,Eleginops maclovinus
Harpagifer bispinis,Cottoperca gobio
Harpagifer bispinis,Austrolycus depressiceps
Munida gregaria,Eurypodius latreillii
Munida gregaria,Trophon geversianus
Munida gregaria,Patagonotothen cornucola
Munida gregaria,Peltarion spinosulum
Munida gregaria,Bathyraja brachyurops
Munida gregaria,Cottoperca gobio
Munida gregaria,Genypterus blacodes
Munida gregaria,Macruronus magellanicus
Munida gregaria,Merluccius hubbsi
Munida gregaria,Patagonotothen sp.
Munida gregaria,Bathyraja griseocauda
Munida gregaria,Patagonotothen longipes
Munida gregaria,Patagonotothen sima
Munida gregaria,Patagonotothen tessellata
Munida gregaria,Paralomis granulosa
Munida gregaria,Bathyraja albomaculata
Munida gregaria,Paranotothenia magellanica
Munida gregaria,Patagonotothen brevicauda brevicauda
Munida gregaria,Patagonotothen ramsayi
Munida gregaria,Salilota australis
Munida gregaria,Raja (Dipturus) chilensis
Munida gregaria,Champsocephalus esox
Munida gregaria,Austrolycus depressiceps
Munida gregaria,Cosmasterias lurida
Munida gregaria,Eleginops maclovinus
Munida gregaria,Lithodes santolla
Munida gregaria,Odontesthes nigricans
Munida gregaria,Schroederichthys bivius
Patagonotothen cornucola,Patagonotothen brevicauda brevicauda
Patagonotothen cornucola,Austrolycus depressiceps
Patagonotothen cornucola,Eleginops maclovinus
Nemertea,Harpagifer bispinis
Nemertea,Myxine glutinosa
Nemertea,Bathyraja brachyurops
Nemertea,Patagonotothen tessellata
Nemertea,Bathyraja albomaculata
Nemertea,Hydrozoa
Nemertea,Austrolycus depressiceps
Nemertea,Eleginops maclovinus
Nemertea,Schroederichthys bivius
Cephalopoda,Dissostichus eleginoides
Cephalopoda,Bathyraja brachyurops
Cephalopoda,Cottoperca gobio
Cephalopoda,Genypterus blacodes
Cephalopoda,Macruronus magellanicus
Cephalopoda,Merluccius hubbsi
Cephalopoda,Bathyraja griseocauda
Cephalopoda,Bathyraja scaphiops
Cephalopoda,Patagonotothen tessellata
Cephalopoda,Bathyraja albomaculata
Cephalopoda,Paranotothenia magellanica
Cephalopoda,Patagonotothen ramsayi
Cephalopoda,Salilota australis
Cephalopoda,Raja (Dipturus) chilensis
