ID,Prey,Prey funtional group,Prey expertise,Predator,Predator funtional group,Predator expertise,Strategy,Source,Reference,Link,Observations
544,Patagonotothen_guntheri,Perciformes,Fish,Otaria_flBirdscens,Carnivora,Sea mammals,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
545,Patagonotothen_ramsayi,Perciformes,Fish,Otaria_flBirdscens,Carnivora,Sea mammals,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
546,Coelorinchus_fasciatus,Gadiformes,Fish,Otaria_flBirdscens,Carnivora,Sea mammals,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
547,Salilota_australis,Gadiformes,Fish,Otaria_flBirdscens,Carnivora,Sea mammals,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
548,Micromesistius_australis,Gadiformes,Fish,Otaria_flBirdscens,Carnivora,Sea mammals,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
549,Sprattus_fuegensis,Clupeiformes,Sardinas,Otaria_flBirdscens,Carnivora,Sea mammals,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
550,Electrona_spp,Myctophiformes,Fish,Thalassarche_melanophris,Birds,Sea birds,Hunter,Heterotroph,Arata_etal_2004,https://doi.org/10.1017/S095410200400207X,Inferred from Electrona antartica and Electrona carlsbergi
551,Electrona_spp,Myctophiformes,Fish,Thalassarche_melanophris,Birds,Sea birds,Hunter,Heterotroph,Arata_etal_2004,https://doi.org/10.1017/S095410200400207X,Inferred from Electrona antartica and Electrona carlsbergi
552,Micromesistius_australis,Gadiformes,Fish,Thalassarche_melanophris,Birds,Sea birds,Hunter,Heterotroph,Arata_etal_2004,https://doi.org/10.1017/S095410200400207X,
553,Doryteuthis_gahi,Cephalopoda,Cephalopods,Globicephala_melaena,Delphinidae,Sea mammals,Hunter,Heterotroph,Clarke_etal_1994,10.1017/S0954102094000234,
554,Enteroctopus_megalocyathus,Cephalopoda,Cephalopods,Globicephala_melaena,Delphinidae,Sea mammals,Hunter,Heterotroph,Clarke_etal_1994,10.1017/S0954102094000234,Inferred from Octopoda
555,Mesonychoteuthis_hamiltonii,Cephalopoda,Cephalopods,Ziphiidae,Ziphiidae,Sea mammals,Hunter,Heterotroph,Clarke_etal_1994,10.1017/S0954102094000234,
556,Moroteuthis_ingens,Cephalopoda,Cephalopods,Globicephala_melas,Delphinidae,Sea mammals,Hunter,Heterotroph,Mansilla_etal_2012,10.1007/s00300-012-1222-3,
557,Copepoda_others,Copepoda,Zooplankton,Caperea_marginata,Neobalaenidae,Sea mammals,Hunter,Heterotroph,Goodall_etal_1985,10.1007/978-3-642-82275-9_77,
558,Merluccius_hubbsi,Gadiformes,Fish,Dissostichus_eleginoides,Nototheniidae,Fish,Hunter,Heterotroph,pers.com._Claudia_Boy,NA,
559,Decapoda_others,Decapoda,Crustaceans,Ziphiidae,Ziphiidae,Sea mammals,Hunter,Heterotroph,Goodall_etal_1985,10.1007/978-3-642-82275-9_77,
560,Otaria_flBirdscens,Carnivora,Sea mammals,Orcinus_orca,Delphinidae,Sea mammals,Hunter,Heterotroph,Goodall_etal_1985,10.1007/978-3-642-82275-9_77,Inferred from Otariidae
