ID,Presa,Grupo funcional presa,Expertise presa,Depredador,Grupo funcional depredador,Expertise depredador,Estrategia,Fuente,Referencia,Enlace,Observaciones
107,Galiteuthis_glacialis,Cephalopoda,Cefalopodos,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
108,Cranchiidae,Cephalopoda,Cefalopodos,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
109,Histioteuthis,Cephalopoda,Cefalopodos,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
110,Histioteuthis,Cephalopoda,Cefalopodos,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
111,Gonatidae,Cephalopoda,Cefalopodos,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
112,Kondakovia_longimana,Cephalopoda,Cefalopodos,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
113,Cephalopoda_otros,Cephalopoda,Cefalopodos,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
114,Galiteuthis_glacialis,Cephalopoda,Cefalopodos,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
115,Dissostichus_eleginoides,Perciformes,Peces demersales,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
116,Micromesistius_australis,Gadiformes,Peces,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
117,Merlucciidae ,Gadiformes,Peces demersales,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
118,Merlucciidae ,Gadiformes,Peces demersales,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
119,Gobionotothen_gibberifrons,Perciformes,Peces,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
120,Channichthyidae ,Perciformes,Peces,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
121,Channichthyidae ,Perciformes,Peces,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
122,Channichthyidae ,Perciformes,Peces,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
123,Lepidonotothen,Perciformes,Peces,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
124,Nototheniidae_spp,Perciformes,Peces,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
125,Pseudochaenichthys_georgianus,Perciformes,Peces,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
126,Doryteuthis_gahi,Cephalopoda,Cefalopodos,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
127,Illex_argentinus,Cephalopoda,Cefalopodos,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
128,Merlucciidae ,Gadiformes,Peces demersales,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
129,Merlucciidae ,Gadiformes,Peces demersales,Ziphiidae_sp,Ziphiidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2017",https://doi.org/10.3354/meps12296,
