ID,Presa,Grupo funcional presa,Depredador,Grupo funcional depredador,Estrategia,Fuente,Expertise depredador,Expertise presa,Referencia,Enlace,Referente
147,Semirrosia_tenera,Cephalopoda ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
148,Enteroctopus_megalocyathus,Cephalopoda ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
149,Campylognathus_vagans,Malacostraca,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826,
150,Munida_gregaria,Malacostraca,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826,
151,Euphausia_lucens,Malacostraca,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826,
152,Calanus_australis,Copepoda ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Crustaceos,8,https://doi.org/10.3354/meps08826,
153,Themisto_gaudichaudii,Malacostraca,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826,
154,Odonthestes*,Atheriniformes,Phocoena_spinipinnis,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
155,Sprattus_fuegensis,Clupeiformes ,Phocoena_spinipinnis,Phocoenidae,,Heterótrofo,Mamiferos marinos,Sardinas,8,https://doi.org/10.3354/meps08826,
156,Merluccius_hubbsi,Gadiformes ,Phocoena_spinipinnis,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
157,Merluccius_australis,Gadiformes ,Phocoena_spinipinnis,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
158,Salilota_australis,Gadiformes ,Phocoena_spinipinnis,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
159,Nototeniidae*,Perciformes,Phocoena_spinipinnis,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
